Laser delay,Gate width,Counts
14.9,1.4000000000000004,14101.0
14.9,1.3000000000000007,11088.0
14.9,1.1999999999999993,8561.0
14.9,1.0999999999999996,6410.0
14.9,1.0,4994.0
14.9,0.9000000000000004,3175.0
14.9,0.8000000000000007,2009.0
14.9,0.6999999999999993,1014.0
14.9,0.5999999999999996,55.0
14.9,0.5,-771.0
14.9,0.40000000000000036,-1623.0
14.9,0.3000000000000007,-2286.0
14.9,0.1999999999999993,-2781.0
14.9,0.09999999999999964,-3153.0
14.95,0.0,-3640.0
14.95,-0.09999999999999964,-3877.0
14.95,3.0,252452.0
14.95,2.9000000000000004,215875.0
14.95,2.8,187027.0
14.95,2.7,164854.0
14.95,2.5999999999999996,142413.0
14.95,2.5,120797.0
14.95,2.4000000000000004,104740.0
14.95,2.3,90378.0
14.95,2.2,79109.0
14.95,2.0999999999999996,67189.0
14.95,2.0,57167.0
14.95,1.9000000000000004,47628.0
14.95,1.8000000000000007,39525.0
14.95,1.6999999999999993,31849.0
14.95,1.5999999999999996,25457.0
14.95,1.5,19635.0
14.95,1.4000000000000004,15264.0
14.95,1.3000000000000007,11606.0
14.95,1.1999999999999993,9059.0
14.95,1.0999999999999996,7086.0
14.95,1.0,5330.0
14.95,0.9000000000000004,3829.0
14.95,0.8000000000000007,2587.0
14.95,0.6999999999999993,1350.0
14.95,0.5999999999999996,148.0
14.95,0.5,-763.0
14.95,0.40000000000000036,-1481.0
14.95,0.3000000000000007,-1890.0
14.95,0.1999999999999993,-2759.0
14.95,0.09999999999999964,-3124.0
15.0,0.0,-3476.0
15.0,-0.09999999999999964,-3966.0
15.0,3.0,273100.0
15.0,2.9000000000000004,234350.0
15.0,2.8,204264.0
15.0,2.7,178023.0
15.0,2.5999999999999996,154454.0
15.0,2.5,130983.0
15.0,2.4000000000000004,113287.0
15.0,2.3,97470.0
15.0,2.2,83980.0
15.0,2.0999999999999996,73224.0
15.0,2.0,61840.0
15.0,1.9000000000000004,51724.0
15.0,1.8000000000000007,43029.0
15.0,1.6999999999999993,34360.0
15.0,1.5999999999999996,27358.0
15.0,1.5,21511.0
15.0,1.4000000000000004,16545.0
15.0,1.3000000000000007,12623.0
15.0,1.1999999999999993,10146.0
15.0,1.0999999999999996,7977.0
15.0,1.0,5922.0
15.0,0.9000000000000004,4352.0
15.0,0.8000000000000007,2998.0
15.0,0.6999999999999993,1594.0
15.0,0.5999999999999996,451.0
15.0,0.5,-401.0
15.0,0.40000000000000036,-1307.0
15.0,0.3000000000000007,-2015.0
15.0,0.1999999999999993,-2528.0
15.0,0.09999999999999964,-3079.0
15.05,0.0,-3505.0
15.05,-0.09999999999999964,-3936.0
15.05,3.0,296806.0
15.05,2.9000000000000004,253078.0
15.05,2.8,221237.0
15.05,2.7,191936.0
15.05,2.5999999999999996,166798.0
15.05,2.5,141817.0
15.05,2.4000000000000004,122561.0
15.05,2.3,106489.0
15.05,2.2,92000.0
15.05,2.0999999999999996,78874.0
15.05,2.0,66800.0
15.05,1.9000000000000004,55970.0
15.05,1.8000000000000007,42616.0
15.05,1.6999999999999993,37420.0
15.05,1.5999999999999996,29759.0
15.05,1.5,23294.0
15.05,1.4000000000000004,17651.0
15.05,1.3000000000000007,14018.0
15.05,1.1999999999999993,10865.0
15.05,1.0999999999999996,8676.0
15.05,1.0,6694.0
15.05,0.9000000000000004,4774.0
15.05,0.8000000000000007,3130.0
15.05,0.6999999999999993,1795.0
15.05,0.5999999999999996,619.0
15.05,0.5,-176.0
15.05,0.40000000000000036,-1001.0
15.05,0.3000000000000007,-1910.0
15.05,0.1999999999999993,-2385.0
15.05,0.09999999999999964,-3053.0
15.1,0.0,-3576.0
15.1,-0.09999999999999964,-3989.0
15.1,3.0,326851.0
15.1,2.9000000000000004,275329.0
15.1,2.8,240027.0
15.1,2.7,207851.0
15.1,2.5999999999999996,181639.0
15.1,2.5,153528.0
15.1,2.4000000000000004,132212.0
15.1,2.3,114881.0
15.1,2.2,99684.0
15.1,2.0999999999999996,85251.0
